tic_id,candidate_number,period,t0,duration_days,duration_hours,depth,depth_ppm,snr,n_transits,bls_power,tls_sde,bls_fap,tier,snr_category,TIC_ID,r_star,t_eff,crowdsap,stellar_activity_flag,vetting_passed,hard_rejection_cause,batman_fit,multiplicity_boost_applied,notes,class_label,confidence_planet,confidence_eb,confidence_blend,confidence_other,period_days,period_err,T0_btjd,T0_err,duration_err,depth_err,sde,Rp_Rs,Rp_Rs_err,a_Rs,a_Rs_err,impact_param,r_planet_earth,r_planet_err,orbital_distance_AU,t_eq_kelvin,odd_even_sigma,secondary_sigma,centroid_shift_arcsec,duration_ratio,flat_bottom_ratio
24693528,2,1.059989,1326.092632,0.065000,1.560000,0.001913,1913.280245,39.372095,26,3443.548325,0.000000,1.000000,false_positive,high,24693528,5.658360,8065.000000,0.997571,False,False,STELLAR_COMPANION,False,False,,STELLAR_COMPANION,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,
30315127,4,1.397184,1326.183703,0.070000,1.680000,0.008336,8336.289563,38.602569,19,37826.262629,0.000000,1.000000,false_positive,high,30315127,4.943530,7931.000000,0.972004,False,False,STELLAR_COMPANION,False,False,,STELLAR_COMPANION,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,
25139818,2,2.188604,1326.077211,0.216375,5.193003,0.001319,1319.022450,38.590967,13,5476.688280,5.669293,1.000000,false_positive,high,25139818,1.582240,7378.000000,0.992853,False,False,ECLIPSING_BINARY_SECONDARY,False,False,,ECLIPSING_BINARY_SECONDARY,0.000000,1.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,
25078924,3,0.907567,1325.506268,0.081630,1.959118,0.015218,15217.869674,38.358594,31,65638.879114,18.158346,1.000000,false_positive,high,25078924,1.217630,5737.000000,0.946844,False,False,ECLIPSING_BINARY_SECONDARY,False,False,,ECLIPSING_BINARY_SECONDARY,0.000000,1.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,
29257288,4,0.893590,1325.601482,0.075000,1.800000,0.004139,4138.591416,37.747780,31,1109.433813,0.000000,1.000000,false_positive,high,29257288,0.247312,3258.000000,0.843377,False,False,ECLIPSING_BINARY_SECONDARY,False,False,,ECLIPSING_BINARY_SECONDARY,0.000000,1.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,
24695725,4,0.552449,1325.632882,0.030000,0.720000,1.732848,1732847.811625,36.077580,50,381128.347945,0.000000,1.000000,false_positive,high,24695725,0.239123,5778.000000,0.225391,True,False,STELLAR_COMPANION,False,False,,STELLAR_COMPANION,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,
24693528,5,1.062649,1326.348882,0.072500,1.740000,0.001460,1460.059259,35.761670,26,2267.443076,0.000000,1.000000,false_positive,high,24693528,5.658360,8065.000000,0.997571,False,False,PHYSICALLY_EVAPORATED,False,False,,PHYSICALLY_EVAPORATED,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,
31273263,1,11.503116,1326.206070,0.035342,0.848212,0.008005,8005.246972,35.273640,3,926.749583,8.218435,1.000000,false_positive,high,31273263,3.059320,5631.770020,0.976135,False,False,STELLAR_COMPANION,False,False,,STELLAR_COMPANION,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,
30315127,3,1.397418,1325.409953,0.067500,1.620000,0.008299,8298.613650,35.206644,19,33953.891604,0.000000,1.000000,false_positive,high,30315127,4.943530,7931.000000,0.972004,False,False,STELLAR_COMPANION,False,False,,STELLAR_COMPANION,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,
30315127,1,1.396251,1325.736203,0.070000,1.680000,0.008167,8166.588299,35.112352,19,37099.467769,0.000000,1.000000,false_positive,high,30315127,4.943530,7931.000000,0.972004,False,False,STELLAR_COMPANION,False,False,,STELLAR_COMPANION,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,
